sentence,our approach,Arora's approach,human annotation
Hadoop NextGen is capable of scheduling multiple resource types.,"<Hadooop, Hadoop, hadoop, hadooop>",Hadoop nextgen,
Set HBase environment variables in this file.,"<HBASE, Hbase, hbase>","FILE, SET, Environment variables",Hbase
Base class loader that defines couple shared constants used by sub-classes.,,"Base class loader, CLASSES, BY",
Exception for the given snapshot due to another exception.,,"TO, given snapshot, EXCEPTION",
"This might have a minor lag due to the event propagation, but that should be much shorter than the cache eviction.Maintain a unique id for every object in SQL database (eg, modified timestamp, version id, or md5 signature), which is different every time we change the object in SQL database.",,"eg, OR, TIME, minor lag, TO, TIMESTAMP, UNIQUE, timestamp, event propagation, every object, SQL database, cache eviction, OBJECT, CHANGE, VERSION","event propagation,cache eviction,SQL database,md5 signature,"
"Use dev-support/submit-patch.py to create patches and optionally, upload to jira and update reviews on Review Board.","<and, ANDs>, <Jira, JIRAs, JIRAS, jiras, Jiras, jira, JIRA>, <dev>","ON, USE, AND, TO, SUPPORT, and",jira
The benchmark measures the number of operations performed by the name-node per second.,,"NUMBER, BY, name - node","name-node,"
Emits sorted Puts.,,,
Get the timelineEntityGroupId.,,"GET, timelineentitygroupid",
the number of partitions when performing a Spark shuffle.,,"Spark shuffle, NUMBER, PARTITIONS",Spark shuffle
The persistence format of the decimal type supports both scientific and non-scientific notation.,"<and, ANDs>, <Decimal type, decimal type>","persistence format, DECIMAL type, Decimal type, scientific and non - scientific notation, decimal type","persistence format,decimal type"
View names and table names share the same namespace with respect to uniqueness.,"<table named, Table names, table name, table names>, <view name, view names>","AND, TO, namespace, and, VIEW","view name,table name"
"This is because we assume well-known range start offsets are used (rg/stripe offsets), so a request from the middle of the start doesn't make sense.",,"REQUEST, RG, RANGE",
"This input split wraps the FileSplit generated from TextInputFormat.getSplits(), while setting the original link file path as job input path.","<input splits, Input Split, input split, Input splits>, <input path, input paths, input Paths>","job input path, input split, original link file path, filesplit, Input split",
"The list of partitions are computed at query time - think of it like a view, where each partition has its own definition limited to 'select * from T where partial/full partition spec'.","<list, LIST>, <query time>","LIST, PARTITION, full partition, TO, SELECT, PARTIAL, query time, VIEW, IT, PARTITIONS","view,query time,partition"
The caller will block until all the hbase:meta log files of the given region server have been processed - successfully split or an error is encountered - by an available worker region server.,"<HBASE, Hbase, hbase>, <META, meta, metainfo>","hbase, HBASE, given Region server, BY, given region server, ALL, ERROR, SPLIT, BLOCK, meta log, available worker region server","region server,"
uild-native=false should work now.,,FALSE,
A class declaration is like a Java class declaration.,,"class declaration, LIKE, Java class declaration",
Queries of the form: select x.c1 from (subq1 union all subq2 ...)x where filter(x.c2); can be transformed to: select * from (subq1 where filter union all subq2 where filter ...)x; and then optimized.,"<and, ANDs>","filter union, subq1, AND, TO, SELECT, FILTER, and, subq2, subq1 union",
Builder for SQLForeignKey.,,sqlforeignkey,
The pre-built 32-bit i386-Linux native hadoop library is available as part of the hadoop distribution and is located in the lib/native directory.,"<and, ANDs>, <libs, libtool, lib>, <Hadooop, Hadoop, hadoop, hadooop>","hadoop distribution, lib, pre - built 32-bit i386-Linux native hadoop library, AS, DIRECTORY, Hadoop distribution",native hadoop library
Go to start of metadata Out of date.,,"DATE, TO, METADATA",
"This class encapsulates the triplet together since they are closely related to each other The triplet: hashmap (either in memory or on disk), small table container, big table container.","<big table, Big Table>, <small table>","ON, big table, MEMORY, TO, small table container, hashmap, other, Big table","small table container,big table container"
Implement the FileSystem API for the checksumed local filesystem.,"<local, LOCAL>, <filesystem, Filesystem>","FileSystem api, checksumed local filesystem","FileSystem API,checksumed local filesystem,"
This class is the interface between the application logic and the database store that contains the objects.,"<and, ANDs>, <database store>","INTERFACE, application logic, database store",database store
MAPREDUCE-676 | Major | Existing diagnostic rules fail for MAP ONLY jobs.,,"MAJOR, MAP",
This replication process is currently waiting for the edits to be applied before the method can return.,,"TO, WAITING, replication process","replication process,"
You can ask questions related to Hive on Elastic MapReduce on Elastic MapReduce forums at: __URL__.,"<mapreduce, mapred, Mapreduce>","ON, TO, mapreduce, MAPREDUCE, Elastic mapreduce","Hive,Elastic MapReduce"
Introducing a random factor to the wait time before another retry.,,"another retry, wait time, random factor",
setSymlink(Path) - Method in class org.apache.hadoop.fs.FileStatus Deprecated.,,,
Consider a query like: select * from (subq1 --> has a filter) join (subq2 --> has a filter) on some key Let us assume that subq1 is the small table (either specified by the user or inferred automatically).,<small table>,"QUERY, ON, small table, US, BY, subq1, SELECT, FILTER, KEY, JOIN, subq2, USER","small table,key,query,"
List of directories to store localized files in.,"<list, LIST>, <localized file, localized files>","LIST, FILES, STORE, DIRECTORIES","localized file,directories"
A statictical sample of histogram values.,,"VALUES, statictical sample","statictical sample, histogram,"
Reads a zero-compressed encoded long from a stream and return it.,"<and, ANDs>","STREAM, LONG, IT","zero-compressed,stream,"
The Union family of DataTypes encode one of a fixed collection of Objects.,,"fixed collection, union family of datatypes, ONE",
Add a Path with a custom InputFormat to the list of inputs for the map-reduce job.,"<list, LIST>","LIST, ADD, PATH, TO, Map - Reduce job, CUSTOM, map - reduce job",map-reduce job
Hadoop should be capable of generating serialization code in multiple target languages and should be C++ and Java.,"<and, ANDs>, <Hadooop, Hadoop, hadoop, hadooop>","hadoop, AND, Serialization code, HADOOP, serialization code, and","Hadoop,"
Apache HiveApache HiveChild pages.Pages.Howl.Browse pagesConfigureSpace tools Skip to end of banner Jira links.,"<Jira, JIRAs, JIRAS, jiras, Jiras, jira, JIRA>","Apache HiveApache hivechild, jira, JIRA, pagesConfigureSpace tools skip, END","Hive,Jira,"
"If the PURGE option is not specified, the data is moved to a trash folder for a defined duration.Use managed tables when Hive should manage the lifecycle of the table, or when generating temporary tables.External tables.An external table describes the metadata / schema on external files.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <Tablename, TABLE, table, tablename>, <external table>","PURGE option, defined duration, EXTERNAL table, IF, OR, HIVE, Temporary tables, TO, trash folder, SCHEMA, purge option, External tables, USE, lifecycle, TABLE, DATA, External table, METADATA, TABLES, EXTERNAL, external table","PURGE option,table,Hive,lifecycle,temporary table,external table,metadata,schema,"
It helps to improve quality of service when the service is under heavy load.,,"TO, IT, heavy load, quality of service",heavy load
Description copied from class: UDFMath.,,DESCRIPTION,
This property is optional and useful only in case of Active Directory server.,"<and, ANDs>, <Active Directory, active directory>","ONLY, case of active directory server, and, AND",Active Directory
ValueAggregatorMapper() - Constructor for class org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorMapper This class implements the generic reducer of Aggregate.,,generic reducer of aggregate,"reducer,"
"Build a job client with the given JobConf, and connect to the default cluster.","<and, ANDs>","job client, given jobconf, default cluster, AND, TO, and","job client,cluster,"
TextInputFormat is the default InputFormat.,,"textinputformat, DEFAULT",
Fixed failing JUnit tests in Gridmix.,"<junit, Junit>","junit, gridmix",
This offset is only within a particular row/CF combination.,,"ONLY, particular row, OFFSET, CF","row/CF combination,"
This expression represents a list that will be available at runtime.,"<list, LIST>","runtime, LIST",
"TS%FIL%RS -> means TableScan Node followed by Filter followed by ReduceSink in the tree, or, in terms of the stack, ReduceSink on top followed by Filter followed by TableScan.",,"OR, TableScan node, reducesink, BY",
Introduced directory quota as hard limits on the number of names in the tree rooted at that directory.,<directory quota>,"ON, NUMBER, DIRECTORY, Introduced directory quota",directory quota
"Get the value of the name property as a trimmed String, null if no such property exists.","<null, NULL>","name property, GET, trimmed string, EXISTS, VALUE, NULL",
Do conditional execution of a NULL THEN and a ELSE vector expression of a SQL IF statement.,"<and, ANDs>, <null, NULL>","ELSE vector expression, AND, conditional execution, and, SQL IF statement, NULL",conditional execution
This federation layer comprises multiple components.,,federation layer,federation layer
Uses default separator of the LazySimpleSerde.,,"default separator, lazysimpleserde",default separator
May be null if no comment provided.,"<null, NULL>","COMMENT, NULL",
You cannot rename/move a directory atop any existing file other than the source file itself.,,"RENAME, DIRECTORY, Existing file, source file, existing file",
Creates a IS NOT NULL.,"<null, NULL>",NULL,
Hadoop example code.,"<Hadooop, Hadoop, hadoop, hadooop>",Hadoop example code,"Hadoop,"
The YarnConfiguration.AUTO_FAILOVER_EMBEDDED property is deprecated.,,yarnconfiguration,
Enter a parse tree produced by HplsqlParser.create_table_options_mssql_item().,,"parse tree, BY","parse tree,"
"These instructions may require you to take steps before you start the upgrade process, so be sure to read through this section beforehand.",,"TO, Upgrade process, upgrade process",
"The split log manager is responsible for the following ongoing tasks: Once the split log manager publishes all the tasks to the splitWAL znode, it monitors these task nodes and waits for them to be processed.","<and, ANDs>, <Znode, znodes, znode>","TASKS, AND, TASK, TO, ALL, FOLLOWING, splitWAL znode, and, IT, split log manager","split log manager,znode,task node,"
This could either go to the web browser or use the web service REST API's.,"<REST, rest>","web browser, TO, USE, web service REST api",REST
Only the common types for the same type group will resolve to a common type.,,"common type, COMMON, ONLY, TO, type group",
"Accessing HDFS with any ip, hostname, or proxy should work as long as it points to the interface NameNode is listening on.","<namenode, Namenode>, <hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>","ON, OR, hostname, hdfs, TO, INTERFACE, HDFS, AS, IP, HOSTNAME","HDFS,"
Choose the Database 2.,,,
"lots of general code cleanup, including attempts to remove any local state files to reduce potential race conditions.","<local, LOCAL>","TO, local state, CONDITIONS, general code cleanup","local state file,race condition,"
Click Choose File to select the diff and optionally a parent diff.,"<and, ANDs>","diff, Click Choose file, SELECT, optionally a parent diff, DIFF",
Hive root pom.xml's <spark.version> defines what version of Spark it was built/tested with.,,"Hive root, version of spark","Hive,Spark"
"In addition Syncable.hsync() should be called after each write, if true synchronous behavior is required.",,"BEHAVIOR, IF, WRITE",
Behavior the same as Hive.Create/Drop/Alter View.Note: Pig and MapReduce cannot read from or write to views.CREATE VIEW.Supported.,"<and, ANDs>, <ALTER, alter>, <DROP, drop>","OR, Alter view, NOTE, AND, DROP, ALTER view, TO, READ, AS, BEHAVIOR, and, CREATE","MapReduce,"
This is used from division.,,,
hadoop fs -count -q -h -v hdfs://nn1.example.com/file1.,"<Hadooop, Hadoop, hadoop, hadooop>","hadoop fs, Hadoop fs",
Any other exception: a new ServiceLaunchException is created with the exit code LauncherExitCodes.EXIT_EXCEPTION_THROWN and the message of the original exception (which becomes the cause).,"<and, ANDs>, <exit code, exit codes, Exit codes>","new servicelaunchexception, exit code, AND, other, original exception, and, Exit code",
In addition YARN can deploy ong-lived services instances such a pool of Apache Tomcat web servers or an Apache HBase cluster.,"<HBASE, Hbase, hbase>, <yarn, YARN>","Apache tomcat, OR, YARN, Apache HBase cluster","YARN,Apache HBase cluster,"
Put an int value as short out to the specified byte array position.,"<BYTES, byte>, <put, PUT>","specified byte array position, PUT, TO, SHORT, int value",
Apache HiveApache HiveChild pages.Pages.User FAQ.Browse pagesConfigureSpace tools Skip to end of banner Jira links.,"<Jira, JIRAs, JIRAS, jiras, Jiras, jira, JIRA>","Apache HiveApache hivechild, jira, JIRA, pagesConfigureSpace tools skip, END, USER",
"See ORC Files for details.Besides the configuration properties listed in this section, some properties in other sections are also related to ORC:hive.default.fileformat.hive.stats.gather.num.threads.hive.exec.orc.memory.pool.Default Value: 0.5.Added In: Hive 0.11.0 with HIVE-4248.Maximum fraction of heap that can be used by ORC file writers.hive.exec.orc.write.format.Default Value: (empty).Added In: Hive 0.12.0 with HIVE-4123; default changed from 0.11 to null with HIVE-5091 (also in Hive 0.12.0).Define the version of the file to write.","<ORC, Orc, orc>, <null, NULL>","BY, HIVE, FILE, Configuration properties, TO, Default value, DEFAULT, other, hive-4123, ORC files, default value, hive-5091, VALUE, WRITE, VERSION","ORC file,Hive,"
"Added label1 to node1, label2 to node2.",,"label1, label2, node1",
"Subclasses should implement this to return true if the cluster has nodes that hosts multiple replicas for the same region, or, if there are multiple racks and the same rack hosts replicas of the same region.","<and, ANDs>","OR, AND, TO, HOSTS, and, CLUSTER, IF, REGION, TRUE","cluster,node,rack hosts,"
"NOTE: Do not use this to calculate a duration of expire or interval to sleep, because it will be broken by settimeofday.",,"INTERVAL, BY, NOTE, USE, TO, IT, duration of expire",
Allow creating archives with relative paths with a -p option on the command line.,"<relative paths, relative path, Relative paths>","command line, OPTION, Command line",relative paths
"Hive, and other execution engines, use this data at runtime to determine how to parse, authorize, and efficiently execute user queries.The Metastore persists the object definitions to a relational database (RDBMS) via DataNucleus, a Java JDO based Object Relational Mapping (ORM) layer.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>, <rdbms, rdbm, RDBMSs, RDBMS>, <datanucleus, datanucleu>, <orm, ORM>, <and, ANDs>, <jdoql, JDOQL, JDO, jdo>","rdbms, relational database, ORM, USE, HIVE, orm, TO, AND, JAVA, datanucleus, RDBMS, EXECUTION, runtime, DATA, and, EXECUTE, OBJECT, metastore","Hive,execution engine,Metastore,relational database,RDBMS,Object Relational Mapping,ORM,JDO"
Utility Classes IrqHandler: registers interrupt handlers using sun.misc APIs.,,"USING, Utility Classes irqhandler",
"Changing this to an otherwise unused identity allows web clients to see only those things visible using ""other"" permissions.",,"otherwise unused identity, ONLY, TO, other, USING",
SHOW CONF returns a description of the specified configuration property.default value.required type.description.Note that SHOW CONF does not show the current value of a configuration property.,"<SHOW, show>","Configuration property, Show conf, specified configuration, configuration property, DESCRIPTION, SHOW conf, current value, SHOW",
"For operations simply reading through a file: copying, distCp, reading Gzipped or other compressed formats, parsing .csv files, etc, the sequential policy is appropriate.","<Distcp, DistCP, distcp>","OR, FILE, sequential policy, FILES, distcp",
Returns the merge regions by reading the corresponding columns of the catalog table Result.,<catalog table>,"COLUMNS, MERGE, BY, catalog table result",catalog table
Returns the event that this ReplicationTask is attempting to replicate.,,"TO, replicationtask",
"principal_specification : USER user | ROLE role priv_type If a user is granted a privilege WITH GRANT OPTION on a table or view, then the user can also grant/revoke privileges of other users and roles on those objects.","<and, ANDs>, <Tablename, TABLE, table, tablename>","ON, AND, TABLE, ROLE, USER user, other, GRANT, and, GRANT option, REVOKE, grant option, VIEW, IF, USER","privilege,table,view"
Implementation of AbstractFileSystem based on the existing implementation of FileSystem.,"<filesystem, Filesystem>","filesystem, existing implementation, ON, implementation of abstractfilesystem",
The first mechanism is store file refresher which is introduced in HBase-1.0+.,"<store file, stores file, Store files, store files, stores files, Store file>","store file refresher, first mechanism","store file refresher,"
A RegionSizeStore implementation that stores nothing.,,RegionSizeStore implementation,
"The superuser can still read and modify file metadata, such as the owner, permissions, etc.","<and, ANDs>","superuser, READ, AS, OWNER, file metadata","superuser,file metadata,owner,permission,"
Get the application's progress ( range 0.0 to 1.0 ).,,"GET, RANGE, application 's progress, TO",
"Remember, toString() is only for debugging.",,"tostring, ONLY",
Returns the MurmurHash3_x86_32 hash.,,HASH,
"A RegionServer running on low memory will trigger its JVM's garbage collector to run more frequently up to a point where GC pauses become noticeable (the reason being that all the memory used to keep all the requests' payloads cannot be trashed, no matter how hard the garbage collector tries).","<regionservers, regionserver>, <jvm, JVMs, JVM, jvms>","GC, Garbage collector, ON, TRIGGER, MEMORY, TO, ALL, regionserver, garbage collector, JVM 's garbage collector",RegionServer
"The trade-off is that if some queues contain long-running tasks, a handler may need to wait to execute from that queue rather than stealing from another queue which has waiting tasks.",,"RUNNING, another queue, TO, LONG, WAITING, HANDLER, trade - off, IF",handler
Dummy desc only for populating TOK_ALLCOLREF and should not be used outside of TypeCheckProcFactory.,"<and, ANDs>","typecheckprocfactory, AND, DESC, desc, and",
"Returns whether the exprNodeDesc is a node of ""or"".",,"OR, exprnodedesc",
Many pieces of Calcite are derived from Eigenbase Project.,,Eigenbase project,
http address:port>/ws/v1/cluster/apps/{appid}/timeout HTTP Operations Supported.,"<http addres, http address, Http address>, <HTTP Operations, http operation>","http address, HTTP operations",
Visit a parse tree produced by HplsqlParser.begin_transaction_stmt().,,"parse tree, BY","parse tree,"
org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager is used by default which loads files specified by dfs.hosts and dfs.hosts.exclude.,"<and, ANDs>, <loads file, loads files, load file, load files>","AND, and, FILES, BY",
Get a list of events related to the entity.,"<list, LIST>","GET, LIST, TO, EVENTS","event,"
It cannot use delegation tokens for this feature.,,"USE, IT","delegation token,"
Built by Maven Apache Hadoop 1.0.0 Release Notes.,"<Hadooop, Hadoop, hadoop, hadooop>","Release notes, BY, Apache hadoop",
hadoop-auth.test.kerberos.keytab.file: default value $HOME/$USER.keytab.,,"Default value, default value",
"Copying a file from snapshot s0: Note that this example uses the preserve option to preserve timestamps, ownership, permission, ACLs and XAttrs.","<xattr, xattrs>, <acls, Acl, Acls, ACL, ACLS, ACLs, acl>","timestamps, acls, FILE, NOTE, SNAPSHOT, xattrs, ACLS, preserve option","snapshot,ownership,permission,ACL,Xattr,"
This is the same setting used by the Centralized Cache Management feature.,,"Centralized Cache Management feature, BY","Centralized Cache Management,"
We used to think that 0.92 and 0.94 were interface compatible and that you can do a rolling upgrade between these versions but then we figured that HBASE-5357 Use builder pattern in HColumnDescriptor changed method signatures so rather than return void they instead return HColumnDescriptor.,"<and, ANDs>","Rolling upgrade, rolling upgrade, AND, TO, VERSIONS, INTERFACE, hcolumndescriptor, and, HBASE-5357 Use builder pattern",
Can write data back that is readable by S3N.,"<datum, Datanode, DATA, datanode, Datanodes, datanodes>","WRITE, BY","S3N,"
Apache HiveApache HiveChild pages.Pages.LanguageManual.Browse pagesConfigureSpace tools Skip to end of banner Jira links.,"<Jira, JIRAs, JIRAS, jiras, Jiras, jira, JIRA>","Apache HiveApache hivechild, jira, JIRA, pagesConfigureSpace tools skip, END, languagemanual","Hive,Jira,"
Improved TaskTracker blacklisting strategy to better exclude faulty tracker from executing tasks.,<tasktracker>,"TO, TASKS, faulty tracker, Improved tasktracker",TaskTracker
See Import checkpoint.,,Import checkpoint,
"Note: This auth method is suitable for running interactive tools, but will not work for jobs submitted to a cluster.",<auth method>,"RUNNING, NOTE, TO, auth method, CLUSTER","job,cluster,"
Adds a Mapper class to the chain job's JobConf.,,"mapper class, Mapper class, chain job 's jobconf",chain job
Underlying stream to write compressed bytes to.,"<BYTES, byte>","BYTES, underlying stream, Underlying stream, WRITE",
"When the space usage is exceeded by the table, the provided SpaceViolationPolicy is enacted on the table.","<Tablename, TABLE, table, tablename>, <space usage>","ON, BY, WHEN, TABLE, space usage, provided spaceviolationpolicy","space usage,table,"
Percentage of maximum heap (-Xmx setting) to allocate to block cache used by a StoreFile.,"<block cache, Block Cache, Block cache>, <maximum heap>","BY, storefile, TO, CACHE, maximum heap","maximum heap,block cache,"
"If you set the hbase.hlog.split.skip.errors option to true, errors are treated as follows: Any error encountered during splitting will be logged.",,"OPTION, SET, ERROR, SPLITTING, AS, IF, TRUE",
hdfs dfsadmin -report.,"<hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>",hdfs dfsadmin,
"In the case of SSE-C, the value of this property should be the Base64 encoded key.",,"SSE - c, CASE, KEY, VALUE, base64","SSE-C,Base64 encoded key,"
Get versions of columns with the specified timestamp.,,"GET, specified timestamp, COLUMNS","timestamp,"
Calls sync with the given transaction ID.,,given transaction id,"transaction ID,"
NOTE: This record writer is NOT thread-safe.,"<record writer, Record writer>","NOTE, record writer, Record writer","record writer,"
It uses a service loader interface to find the available CredentialProviders and create them based on the list of URIs.,"<and, ANDs>, <list, LIST>","LIST, ON, service loader interface, available credentialproviders, uris, CREATE, IT","service loader,"
